Fichier;Titre;2e titre;Titre original;Compositeur;Auteur;Tonalité;Format;Copyright;Référence;Thème;Air du;Vol.
JEM090;La foi renverse devant nous;;;Psautier suisse allemand;Nikolaus Ludwig von Zinzendorf;Mib;2x2 voix;;;Foi et confiance;;1
JEM091;Réjouis-toi;Chrétien, réjouis-toi;;John Darwall;Claire-Lise de Benoit;Ré;2x2 voix;© Ligue pour la lecture de la Bible;;Joie et célébration;;1
JEM092;Quel ami fidèle et tendre;;What a friend we have in Jesus;Charles Crozat Converse;Emile Bonnard;Sol;2x2 voix;© Domaine public;;Louange;AF078;1
JEM093;O Dieu, relève-nous;;Great is Thy Faithfulness;William Marion Runyan;Claire-Lise de Benoit;Mib;2x2 voix;© 1951 Hope Publishing/Small Stone Media/LTC;;Repentance;;1
JEM094;Jésus demeure;Quand sur terre tout déçoit;Jesus never fails;Arthur A. Luther;M. Denereaz;Mib;2x2 voix;© Domaine public;;Foi et confiance;;1
JEM095;Reste avec nous;;Eventide;William Henry Monk;Francis Chaponnière;Mib;2x2 voix;© Domaine public;;Prière;AF190;1
JEM096;Chant d'adieu;Jésus soit avec vous;God be with you till we meet again;William Gould Tomer;Charles Rochedieu;Réb;2x2 voix;© Domaine public;;Exhortation;AF457;1
JEM097;Canon à 4 voix;Tous ensemble amis;;Claire-Lise de Benoit;Claire-Lise de Benoit;Lab;Canon à 4 voix;© 1966 Ligue pour la lecture de la Bible;;Joie et célébration;;1
JEM098;Rassemblement;Seigneur, nous arrivons;;Odette Vercruysse;Odette Vercruysse;Do;2x1 voix;© Odette Vercruysse;;Joie et célébration;;1
JEM099;Bénis, mon âme;;;Inconnu;Inconnu;Sol;1 voix;;;Adoration;;1
JEM100;Bénissez son saint nom;Bénissez l'Eternel;Bless his holy name (Bless the Lord);Andrae Crouch;Andrae Crouch;Mib;1 voix;© 1973 Bud John Songs Inc/EMI Christian Music Publishing/Small Stone Media/LTC;;Dieu;;1
JEM1000;Cet amour;En toi les humbles sont bénis;The Same Love;Paul Baloche et Michael Rossback;Paul Baloche et Michael Rossback;La;1 voix + tempo;© 2011 Integrity's Praise! Music/Small Stone Media/LTC;;Intimité;;4
JEM1001;Merveilleux nom;Cournonné, rayonnant;;Jean-Philippe Yelle et Sébastien Corn;Jean-Philippe Yelle et Sébastien Corn;Do;1 voix + tempo;© 2012 Sébastien Corn, Jean-Philippe Yelle/LTC;;Jésus-Christ;;4
JEM1002;Tu es le seul;Tu es le seul vrai Dieu;;Siméon Freymond et Céline Meylan;Siméon Freymond et Céline Meylan;Fa;1 voix + tempo;© 2015 Siméon Freymond et Céline Meylan;;Proclamation;;4
JEM1003;Peuple racheté;Hallelu et Adonaï;;Corinne Lafitte;Corinne Lafitte;Sim;1 voix;© 2011 Corinne Lafitte;;Joie, célébration;;4
JEM1004;En Jésus seul;Oh, quel amour !;In Christ Alone;Stuart Townend et Keith Getty;Stuart Townend et Keith Getty;Mib;1 voix;© 2001 Kingsway's Thankyou Music/LTC;;Jésus-Christ;;4
JEM1005;Sauve de grâce;L'Éternel fera germer le salut;;Elisabeth Bourbouze;Elisabeth Bourbouze;Mib;1 voix;© 2001 Elisabeth Bourbouze;;Espérance;;4
JEM1006;Notre Père;Abba Père;;Benjamin et Thomas Pouzin;Benjamin et Thomas Pouzin;Do;1 voix;© 2014 Glorious Pop éditions;;Prière;;4
JEM1007;Je suivrai mon Seigneur;;;Chris Christensen et Thierry Ostrini;Chris Christensen et Thierry Ostrini;Ré;1 voix;© 2000 Chris Christensen et Thierry Ostriny/LTC;;Engagement;;4
JEM1008;Nous dansons;Dieu est dans nos villes;;Benjamin et Thomas Pouzin;Benjamin et Thomas Pouzin;Sol;1 voix;© 2013 Glorious Pop éditions;;Evangélisation;;4
JEM1009;Ta grâce;Je suis sauvé;;Benjamin et Thomas Pouzin;Benjamin et Thomas Pouzin;Sol;1 voix;© 2013 Glorious Pop éditions;;Grâce;;4
JEM101;Jésus;Oui, il mourut;Jesus;Debby Kerner;Debby Kerner;Ré;1 voix;© 1971 Rettino/Kerner Publishing;;Adoration;;1
JEM1010;Qui est ce roi ?;Tu es digne de toute la gloire;;Fabien Gutknecht;Fabien Gutknecht;Mi;1 voix + tempo;© 2005 Fabien Gutknecht;;Jésus-Christ;;4
JEM1011;Mon secours est en toi;Si la lune me glace;;Sébastien Corn;Sébastien Corn;Do;1 voix + tempo;© 2015 Sébastien Corn/LTC;;Foi et confiance;;4
JEM1012;Gloire à Jésus;Nous choisissons de te suivre;;Tabitha Lemaire, Sarah Gerhon et David Gasse;Tabitha Lemaire, Sarah Gerhon et David Gasse;Mi;1 voix;© 2007 Tabitha Lemaire, Sarah Gerhon, David Gasse;;Louange;;4
JEM1013;Notre Père dans les cieux;;Our Father;Marcus Meier;Marcus Meier;Mi;1 voix;© 2009 Forerunner Music/Song Solutions CopyCare/LTC;;Prière;;4
JEM1014;Sola Gratia;Amour parfait;;Sébastien Corn et David Morin;Sébastien Corn et David Morin;Sim;1 voix + tempo;© 2013 Sébastien Corn/LTC;;Grâce;;4
JEM1015;Ta tendre voix;Où irais-je ?;;Yannick Billioux;Yannick Billioux;Si;1 voix;© 2016 Yannick Billioux/LTC;;Ecoute;;4
JEM1016;Quelle grâce incomparable;Qui brise le pouvoir du mal;This is amazing Grace;Phil Wickham, Jeremy Riddle et Josh Farro;Phil Wickham, Jeremy Riddle et Josh Farro;Fa;1 voix + tempo;© 2012 Bethel Music Publishing/Small Stone Media/LTC;;Grâce;;4
JEM1017;Christ est ma joie;Non, je n'aurai pas honte de le proclamer;;Sébastien Corn;Sébastien Corn;Sol;1 voix;© 2012 ENV Media, Sébastien Corn/LTC;;Joie, célébration;;4
JEM1018;Une seule Eglise;Nous n'avons qu'un seul Père;;David Prigent;David Prigent;Do;1 voix;© 2009 David Prigent;;Eglise;;4
JEM1019;Paré de splendeur;Tes merveilles et ta splendeur;;Samuel Bancal et Cédric Chanson;Samuel Bancal et Cédric Chanson;Ré;1 voix + tempo;© 2014 Samuel Bancal et Cédric Chanson;;Adoration;;4
JEM102;Précieux Jésus;;Holy, holy;Jimmy Owens;Jimmy Owens;Do;1 voix;© 1972 Jimmy and Carol Music/The Copyright/Song Solutions CopyCare/LTC;;Adoration;;1
JEM1020;Merveilleux Sauveur;Je reconnais;;Fabien Gutknecht;Fabien Gutknecht;La;1 voix + tempo;© 2008 Fabien Gutknecht;;Salut;;4
JEM1021;À ton nom;Seigneur de la terre;At your name;Phil Wickham et Tim Hughes;Phil Wickham et Tim Hughes;Sol;1 voix + tempo;© 2011 Thankyou Music/LTC;;Proclamation;;4
JEM1022;Esprit de Dieu;Déchire les cieux;Spirit Break Out;Luke Hellebronth, Myles Dhillon, Tim Hughes et Ben Bryant;Luke Hellebronth, Myles Dhillon, Tim Hughes et Ben Bryant;Fa#m;1 voix + tempo;© 2010 Thankyou Music/LTC;;Réveil;;4
JEM1023;Digne es-tu;Tant que respire;;Thierry Ostrini;Thierry Ostrini;La;1 voix + tempo;© 2015 Thierry Ostrini/LTC;;Louange;;4
JEM1024;Rien n'est impossible;Je vivrai non par ce que je vois;Nothing is impossible;Joth Hunt;Joth Hunt;Sol;1 voix + tempo;© 2008 PlanetShackers Int/Integrity Worship Music/LTC;;Foi et confiance;;4
JEM1025;Glorieux;Considère le mystère;Glorius;Paul Baloche et Brenton Brown;Paul Baloche et Brenton Brown;Do;1 voix + tempo + instrumental;© 2009 Integrity's Hosanna Music/LTC;;Louange;;4
JEM1026;Jésus, je te suivrai;Dans la joie, quand le soleil m'inonde;;Sébastien Corn;Sébastien Corn;La;1 voix + tempo;© 2012 ENV Media/LTC;;Engagement;;4
JEM1027;Rien de plus;Quand le soleil se lève;;Christian Frappier et Thierry Ostrini;Christian Frappier et Thierry Ostrini;Do;1 voix + tempo;© 2013 Christian Frappier;;Consécration;;4
JEM1028;Grâce infinie;Il me libère, brise mes chaînes;Amazing Grace;John Newton, Chris Tomlin et Louie Giglio;John Newton, Chris Tomlin et Louie Giglio;Fa;1 voix + tempo;© 2006 Sixstep/Worshiptogether.com/LTC;;Grâce;;4
JEM1029;Hosanna;Dieu immense;;Matt Marvane;Matt Marvane;Ré;1 voix;© 2008 Matt Marvane;;Louange;;4
JEM103;Jésus, Jésus;;Jesus Jesus;Inconnu;Inconnu;Mim;1 voix;;;Adoration;;1
JEM1030;Même si je ne sens rien;Mon Jésus, je viens à toi;;Sylvain Freymond;Sylvain Freymond;Fa#m;1 voix;© 2010 Sylvain Freymond;;Louange;;4
JEM1031;Soyons reconnaissants;Il a tout créé;;Siméon et Sylvain Freymond;Siméon et Sylvain Freymond;Do;1 voix + instrumental;© 2016 Sylvain Freymond et Siméon Freymond;;Reconnaissance;;4
